Padrão,Vencimento Básico Atual,Vencimento Básico,Degrau,A,,,,,,,,,B,,,,,,,E,,,,E-M,,,,
P46,"8089,2","7820,59","3,9%",,,,,B115,B214,B313,B412,C109,C208,C307,C406,D103,D202,D301,,,,,,,,,,"B115, B214, B313, B412, C109, C208, C307, C406, D103, D202, D301"
P47,"8404,67","8125,59","3,9%",,,,,B116,B215,B314,B413,C110,C209,C308,C407,D104,D203,D302,D401,,,,,,,,,"B116, B215, B314, B413, C110, C209, C308, C407, D104, D203, D302, D401"
P48,"8732,45","8442,49","3,9%",,,,,,B216,B315,B414,C111,C210,C309,C408,D105,D204,D303,D402,,,,,,,,,"B216, B315, B414, C111, C210, C309, C408, D105, D204, D303, D402"
P49,"9073,02","8771,75","3,9%",,,,,,,B316,B415,C112,C211,C310,C409,D106,D205,D304,D403,,,,,,,,,"B316, B415, C112, C211, C310, C409, D106, D205, D304, D403"
P31-M,"R$ 9.113,84","9113,84","3,9%",,,,,,,,B416,C113,C212,C311,C410,D107,D206,D305,D404,E101,,,,F101,,,,"B416, C113, C212, C311, C410, D107, D206, D305, D404, E101, F101"
P32-M,"R$ 9.469,29","9469,28","3,9%",,,,,,,,,C114,C213,C312,C411,D108,D207,D306,D405,E102,E201,,,F102,F201,,,"C114, C213, C312, C411, D108, D207, D306, D405, E102, E201, F102, F201"
P33-M,"R$ 9.838,60","9838,59","3,9%",,,,,,,,,C115,C214,C313,C412,D109,D208,D307,D406,E103,E202,E301,,F103,F202,F301,,"C115, C214, C313, C412, D109, D208, D307, D406, E103, E202, E301, F103, F202, F301"
P34-M,"R$ 10.222,30","10222,29","3,9%",,,,,,,,,C116,C215,C314,C413,D110,D209,D308,D407,E104,E203,E302,E401,F104,F203,F302,F401,"C116, C215, C314, C413, D110, D209, D308, D407, E104, E203, E302, E401, F104, F203, F302, F401"
P35-M,"R$ 10.620,96","10620,96","3,9%",,,,,,,,,,C216,C315,C414,D111,D210,D309,D408,E105,E204,E303,E402,F105,F204,F303,F402,"C216, C315, C414, D111, D210, D309, D408, E105, E204, E303, E402, F105, F204, F303, F402"
P36-M,"R$ 11.035,18","11035,18","3,9%",,,,,,,,,,,C316,C415,D112,D211,D310,D409,E106,E205,E304,E403,F106,F205,F304,F403,"C316, C415, D112, D211, D310, D409, E106, E205, E304, E403, F106, F205, F304, F403"
P37-M,"R$ 11.465,56","11465,55","3,9%",,,,,,,,,,,,C416,D113,D212,D311,D410,E107,E206,E305,E404,F107,F206,F305,F404,"C416, D113, D212, D311, D410, E107, E206, E305, E404, F107, F206, F305, F404"
P38-M,"R$ 11.912,72","11912,71","3,9%",,,,,,,,,,,,,D114,D213,D312,D411,E108,E207,E306,E405,F108,F207,F306,F405,"D114, D213, D312, D411, E108, E207, E306, E405, F108, F207, F306, F405"
P39-M,"R$ 12.377,30","12377,30","3,9%",,,,,,,,,,,,,D115,D214,D313,D412,E109,E208,E307,E406,F109,F208,F307,F406,"D115, D214, D313, D412, E109, E208, E307, E406, F109, F208, F307, F406"
P40-M,"R$ 12.860,02","12860,02","3,9%",,,,,,,,,,,,,D116,D215,D314,D413,E110,E209,E308,E407,F110,F209,F308,F407,"D116, D215, D314, D413, E110, E209, E308, E407, F110, F209, F308, F407"
P41-M,"R$ 13.361,57","13361,56","3,9%",,,,,,,,,,,,,,D216,D315,D414,E111,E210,E309,E408,F111,F210,F309,F408,"D216, D315, D414, E111, E210, E309, E408, F111, F210, F309, F408"
P42-M,"R$ 13.882,68","13882,66","3,9%",,,,,,,,,,,,,,,D316,D415,E112,E211,E310,E409,F112,F211,F310,F409,"D316, D415, E112, E211, E310, E409, F112, F211, F310, F409"
P43-M,"R$ 14.424,10","14424,08","3,9%",,,,,,,,,,,,,,,,D416,E113,E212,E311,E410,F113,F212,F311,F410,"D416, E113, E212, E311, E410, F113, F212, F311, F410"
P44-M,"R$ 14.986,63","14986,62","3,9%",,,,,,,,,,,,,,,,,E114,E213,E312,E411,F114,F213,F312,F411,"E114, E213, E312, E411, F114, F213, F312, F411"
P45-M,"R$ 15.571,11","15571,10","3,9%",,,,,,,,,,,,,,,,,E115,E214,E313,E412,F115,F214,F313,F412,"E115, E214, E313, E412, F115, F214, F313, F412"
P46-M,"R$ 16.178,39","16178,37","3,9%",,,,,,,,,,,,,,,,,E116,E215,E314,E413,F116,F215,F314,F413,"E116, E215, E314, E413, F116, F215, F314, F413"
P47-M,"R$ 16.809,35","16809,33","3,9%",,,,,,,,,,,,,,,,,,E216,E315,E414,,F216,F315,F414,"E216, E315, E414, F216, F315, F414"
P48-M,"R$ 17.464,90","17464,89","3,9%",,,,,,,,,,,,,,,,,,,E316,E415,,,F316,F415,"E316, E415, F316, F415"
P49-M,"R$ 18.146,04","18146,02","3,9%",,,,,,,,,,,,,,,,,,,,E416,,,,F416,"E416, F416"
