COMPET,VAR_0001_SITUACAO,CO_GRUPO_E_CARGO,NO_CARGO,SG_ESCOLARIDADE_CARGO,CO_CLASSE,PDMATRIZ,CO_PADRAO,NC,PADRAO,PERCENT_IQ,QTD_SERV
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,20,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,30,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P36,205,2,5,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,205,2,5,30,6
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,205,2,5,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,304,3,4,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,304,3,4,30,29
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,304,3,4,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,304,3,4,52,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,403,4,3,30,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P36,403,4,3,52,6
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P37,206,2,6,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,206,2,6,30,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,206,2,6,52,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P37,305,3,5,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,305,3,5,,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,305,3,5,30,14
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,305,3,5,52,6
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,404,4,4,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,404,4,4,30,173
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,404,4,4,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,404,4,4,52,73
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P37,404,4,4,75,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,108,1,8,,8
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,108,1,8,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,108,1,8,75,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,108,1,8,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,207,2,7,,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,207,2,7,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,207,2,7,30,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,207,2,7,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,306,3,6,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,306,3,6,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,306,3,6,30,8
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,306,3,6,52,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,306,3,6,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,30,171
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,52,115
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P38,405,4,5,75,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,109,1,9,,16
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,109,1,9,30,9
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,109,1,9,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,208,2,8,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,208,2,8,30,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,208,2,8,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,20,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,30,10
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,52,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,307,3,7,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,,7
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,30,231
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,52,154
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P39,406,4,6,75,7
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,,24
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,30,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,52,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,30,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,209,2,9,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,209,2,9,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,209,2,9,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,308,3,8,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,308,3,8,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,308,3,8,30,8
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,308,3,8,52,3
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,,7
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,20,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,30,332
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,52,300
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P40,407,4,7,75,18
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,111,1,11,,39
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,111,1,11,30,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,111,1,11,52,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,210,2,10,52,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,309,3,9,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,309,3,9,30,9
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,309,3,9,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,309,3,9,52,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,309,3,9,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,,8
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,30,130
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,52,179
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P41,408,4,8,75,23
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,112,1,12,,38
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,112,1,12,30,9
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,112,1,12,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,112,1,12,30,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,211,2,11,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,211,2,11,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,211,2,11,30,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,310,3,10,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,310,3,10,30,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,310,3,10,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,30,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,20,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,30,178
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,52,258
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P42,409,4,9,75,25
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,113,1,13,,46
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,113,1,13,30,9
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,113,1,13,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,,3
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,20,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,30,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,212,2,12,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,311,3,11,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,311,3,11,52,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,311,3,11,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,311,3,11,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,311,3,11,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,30,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,20,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,30,144
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,52,218
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P43,410,4,10,75,34
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,114,1,14,,39
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,114,1,14,30,8
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,114,1,14,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,213,2,13,,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,213,2,13,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,213,2,13,30,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,213,2,13,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,312,3,12,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,312,3,12,30,5
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,312,3,12,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,,12
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,30,7
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,52,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,30,83
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,52,90
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P44,411,4,11,75,12
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,,46
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,30,12
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,52,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,214,2,14,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,214,2,14,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,313,3,13,,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,313,3,13,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,313,3,13,30,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,,13
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,30,11
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,30,128
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,35,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,52,152
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P45,412,4,12,75,24
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,,83
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,20,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,30,34
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,35,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,52,5
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,75,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,,6
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,20,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,30,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,215,2,15,,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,215,2,15,30,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,,7
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,30,10
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,52,3
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,,1
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,30,23
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,52,20
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P46,413,4,13,75,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,,14
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,30,20
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,52,4
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,30,8
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P47,216,2,16,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,315,3,15,,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,315,3,15,30,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P47,315,3,15,52,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,414,4,14,,14
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P47,414,4,14,30,9
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,,11
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,30,23
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,30,7
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,52,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P48,316,3,16,75,1
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,415,4,15,,17
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,415,4,15,30,12
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,415,4,15,52,4
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P48,415,4,15,75,2
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P48,415,4,15,52,2
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,,62
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,30,253
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,52,71
202402,APOSENTADO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,75,13
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,,9
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,30,112
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,52,50
202402,ATIVO,701001,ADMINISTRADOR,NS,E,P49,416,4,16,75,9
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P31,101,1,1,,4
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P32,102,1,2,,2
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P33,103,1,3,,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P34,104,1,4,,2
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P35,105,1,5,,4
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P36,106,1,6,,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P37,107,1,7,,3
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P38,108,1,8,,9
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P39,109,1,9,,12
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P39,109,1,9,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,,10
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P40,110,1,10,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P41,111,1,11,,7
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P41,111,1,11,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P42,112,1,12,,12
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P43,113,1,13,,5
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P43,113,1,13,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P44,114,1,14,,12
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P44,114,1,14,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,,17
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P45,115,1,15,30,1
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,,44
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,30,2
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P46,116,1,16,52,2
202402,INST_PENSAO,701001,ADMINISTRADOR,NS,E,P33,202,2,2,,1
